,Unnamed: 0,img_name,category,beauty_scores,score,score_bag
0,"['11717', '11765', '2208', '3999']","['5173748531.jpg', '7206464102.jpg', '2197358515.jpg', '1519670226.jpg']","['urban', 'urban', 'nature', 'urban']","['[4, 5, 5, 4, 5, 5, 5, 5, 5, 5]', '[5, 5, 5, 5, 4]', '[3, 3, 3, 4, 2, 4, 4, 4, 4, 3]', '[3, 3, 3, 3, 3]']","['4', '4', '2', '2']","""4"""
1,"['7203', '13219', '4411', '3038']","['7307320712.jpg', '2054726558.jpg', '4949537147.jpg', '5098181715.jpg']","['urban', 'animals', 'urban', 'people']","['[4, 3, 4, 4, 4, 4]', '[3, 5, 4, 4, 4]', '[3, 3, 3, 3, 3, 4]', '[4, 3, 3, 3, 3, 3, 3, 3, 3, 3]']","['3', '3', '2', '2']","""3"""
2,"['7626', '9314', '3259', '5278']","['1965237151.jpg', '2391234557.jpg', '1093622997.jpg', '5992011364.jpg']","['animals', 'nature', 'animals', 'urban']","['[4, 3, 3, 3, 4, 3, 3]', '[3, 4, 3, 3, 3]', '[3, 3, 3, 3, 3]', '[3, 4, 3, 3, 3]']","['2', '2', '2', '2']","""2"""
3,"['11776', '774', '1475', '1336']","['5861265657.jpg', '7271980.jpg', '4059345792.jpg', '4656411029.jpg']","['animals', 'nature', 'people', 'nature']","['[3, 2, 2, 2, 3]', '[2, 2, 1, 2, 2]', '[1, 1, 1, 1, 1]', '[3, 2, 2, 3, 2]']","['1', '1', '0', '1']","""1"""
4,"['13271', '7256', '9625', '10838']","['6855863116.jpg', '158489361.jpg', '2237820353.jpg', '5709986596.jpg']","['nature', 'nature', 'nature', 'urban']","['[1, 1, 1, 1, 1]', '[1, 1, 2, 2, 1]', '[2, 1, 1, 1, 1]', '[1, 1, 1, 1, 1]']","['0', '0', '0', '0']","""0"""
5,"['11832', '8603', '1637', '921']","['5039664880.jpg', '7499453590.jpg', '29229779.jpg', '2181186769.jpg']","['urban', 'animals', 'animals', 'nature']","['[4, 5, 5, 5, 5, 5, 5, 5]', '[4, 5, 4, 5, 5]', '[4, 4, 3, 4, 4]', '[3, 2, 3, 2, 3]']","['4', '4', '3', '2']","""4"""
6,"['4427', '8887', '4321', '1592']","['6679794475.jpg', '3681760420.jpg', '3712152904.jpg', '8540409570.jpg']","['nature', 'urban', 'nature', 'urban']","['[4, 4, 4, 3, 3]', '[5, 5, 5, 3, 4, 3, 4, 4, 4, 4, 5]', '[3, 4, 4, 3, 3]', '[3, 2, 4, 3, 2]']","['3', '3', '2', '2']","""3"""
7,"['11335', '6247', '7553', '8600']","['6079201853.jpg', '361600914.jpg', '5178429585.jpg', '318312861.jpg']","['people', 'nature', 'animals', 'people']","['[3, 3, 3, 3, 3]', '[3, 2, 3, 3, 3]', '[3, 2, 2, 2, 2]', '[2, 3, 3, 2, 2]']","['2', '2', '1', '1']","""2"""
8,"['3661', '7606', '2054', '9297']","['6990690572.jpg', '7932857380.jpg', '1268416401.jpg', '5048555935.jpg']","['people', 'urban', 'people', 'nature']","['[1, 4, 2, 2, 2]', '[3, 2, 2, 2, 2]', '[2, 2, 2, 2, 2]', '[2, 2, 2, 3, 2]']","['1', '1', '1', '1']","""1"""
9,"['674', '1083', '11480', '439']","['3466586479.jpg', '3050108499.jpg', '3158363876.jpg', '1502768903.jpg']","['nature', 'people', 'animals', 'people']","['[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]', '[1, 1, 1, 1, 2]', '[1, 2, 2, 1, 1]', '[1, 2, 1, 1, 1]']","['0', '0', '0', '0']","""0"""
10,"['2622', '348', '12717', '12098']","['7638499848.jpg', '2413057204.jpg', '144878037.jpg', '869801486.jpg']","['animals', 'animals', 'animals', 'nature']","['[4, 5, 5, 5, 5]', '[5, 4, 5, 4, 5, 5, 4, 4, 4, 5, 5]', '[3, 2, 2, 2, 3]', '[4, 4, 4, 4, 3, 4, 3, 5, 4, 5]']","['4', '4', '1', '3']","""4"""
